year,x-5,x-4,x-3,x-2,x-1,x
boul,172.37,177.48,180.63,186.12,189.98,192.84
sf,1070.14,1105.04,1148.73,1181.4,1201.95,1214.52
dc,2508.13,2517.98,2545.72,2592.8,2628.65,2653.25
sj,962.45,997.13,1031.99,1061.89,1080.68,1093.1
bos,2519.28,2562.48,2617.11,2675.72,2711.86,2739.9
rd,825.65,851.375,882.0369929,911.2486788,934.1137612,952.6292799
aus,864.61,895.22,926.92,957.72,987.95,1013.59
oak,1034.47,1055.82,1083.14,1114.88,1136.47,1149.52
den,1294.28,1330.27,1361.55,1401.56,1427.9,1446.74
sea,1785.4,1833.94,1890.83,1946.46,1983.95,2003.34
nyc,5419.33,5513.55,5620.87,5752.07,5826.42,5867.38
port,1036.59,1065.76,1100.67,1133.34,1152.8,1166.08
atl,2405.17,2460.6,2536.98,2605.36,2666.5,2718.01
sd,1312.43,1345.58,1378.7,1413.38,1434.28,1448.2
dall,2170.58,2255.42,2337.36,2412.63,2481.33,2537.08
nash,808.79,833.13,859.8,878.89,891.64,901.1
pitts,1157.8,1163.83,1180.9,1209.8,1224.72,1235.86
slc,661.77,678.04,702.41,728.38,743.49,754.77
hous,2788.25,2891.32,2962.45,3030.32,3127.92,3201.67
la,5568.05,5674.67,5800.12,5962.95,6056.24,6103.05
